team,round,Q,answer,correct
Heyjin and Zack,1,5,Grey Gardens,N
Jess and Simon,1,5,What is this is spinal tap!?,Y
Losing 21 in 2021,1,5,Grey Gardens,N
Netflix and Quill,1,5,Grey Gardens,Y
Quaranteam 2020,1,5,Grey Gardens,N
Ali and Ilsi,1,6,"catch me if you can; unsure on name of individual, but Leo DiCaprio is the actor (half point)",N
Bebe Yoda,1,6,,Y
Blue Taran-dactyls,1,6,Catch Me If You Can. Leo DiCaprio,Y
Clark and Kristen,1,6,"Catch Me if you Can, Frank William Abignale",N
Days of Auld Lang-xiety,1,6,i have no idea ,Y
Heyjin and Zack,1,6,"Catch Me if You Can, Frank Abganale",Y
Jess and Simon,1,6,What is catch me if you can? Who is Leonardo DiCaprio ,Y
Losing 21 in 2021,1,6,Catch me if you can; frank something,Y
Netflix and Quill,1,6,The Fugitive,N
Quaranteam 2020,1,6,O Brother Where Art Thou?,Y
Ali and Ilsi,1,7,666,Y
Bebe Yoda,1,7,66,Y
Blue Taran-dactyls,1,7,27,N
Clark and Kristen,1,7,212,N
Days of Auld Lang-xiety,1,7,room 6,N
Heyjin and Zack,1,7,237,Y
Jess and Simon,1,7,What is 213?,N
Losing 21 in 2021,1,7,11,N
Netflix and Quill,1,7,273,N
Quaranteam 2020,1,7,242,N
Ali and Ilsi,1,8,LA,N
Bebe Yoda,1,8,NYC,N
Blue Taran-dactyls,1,8,Chicago,N
Clark and Kristen,1,8,Seattle,N
Days of Auld Lang-xiety,1,8,san francisco,Y
Heyjin and Zack,1,8,New York,N
Jess and Simon,1,8,What is New York City?,N
Losing 21 in 2021,1,8,New York,Y
Netflix and Quill,1,8,Seattle,Y
Quaranteam 2020,1,8,New York City,N
Ali and Ilsi,1,9,Nameless House,Y
Bebe Yoda,1,9,,Y
Blue Taran-dactyls,1,9,Pistol Villa,Y
Clark and Kristen,1,9,Hotel California,Y
Days of Auld Lang-xiety,1,9,i have no idea and i'm trying not to google ,N
Heyjin and Zack,1,9,Big Haus ,N
Jess and Simon,1,9,What is the Remington house?,N
Losing 21 in 2021,1,9,Lol wut,Y
Netflix and Quill,1,9,Winchester House,N
Quaranteam 2020,1,9,Winchester Mansion,N
Ali and Ilsi,1,10,"Lesotho, Vatican City, Andorra",N
Bebe Yoda,1,10,"Lesotho, Luxembourg, Vatican City",Y
Blue Taran-dactyls,1,10,"Vatican City, Singapore…?",N
Clark and Kristen,1,10,"Vatican City, ",Y
Days of Auld Lang-xiety,1,10,luxembourg? ,Y
Heyjin and Zack,1,10,"Vatican City, Monaco, Lesotho ",Y
Jess and Simon,1,10,"What are the Vatican City, Monaco, and Gambia",Y
Losing 21 in 2021,1,10,Vatican City; Andorra; Netherlands?,N
Netflix and Quill,1,10,"Lesotho, Vatican City, Andorra",Y
Quaranteam 2020,1,10,"San Marino, Lesotho, swaziland",Y
Ali and Ilsi,2,1,Yoseimete Park,Y
Bebe Yoda,2,1,Yellowstone,N
Blue Taran-dactyls,2,1,Mount Rushmore,N
Clark and Kristen,2,1,Yellowstone,Y
Days of Auld Lang-xiety,2,1,yellowstone,N
Heyjin and Zack,2,1,Yosemite,N
Jess and Simon,2,1,Acadia,Y
Losing 21 in 2021,2,1,Shenandoah?,Y
Netflix and Quill,2,1,John Muir,Y
Quaranteam 2020,2,1,Yosemite,Y
Ali and Ilsi,2,2,Some other third California-related answer,Y
Bebe Yoda,2,2,Cedar Point,N
Blue Taran-dactyls,2,2,Disneyland,N
Clark and Kristen,2,2,Disneyland,N
Days of Auld Lang-xiety,2,2,disney world??????,N
Heyjin and Zack,2,2,Disneyland,N
Jess and Simon,2,2,Disneyland,N
Losing 21 in 2021,2,2,Disneyland? ,N
Netflix and Quill,2,2,Disneyland - California Adventure,Y
Quaranteam 2020,2,2,Disney Land,Y
Ali and Ilsi,2,3,Six Flags,N
Bebe Yoda,2,3,Happyland,N
Blue Taran-dactyls,2,3,Freedomland,N
Clark and Kristen,2,3,Snooopy Land,N
Days of Auld Lang-xiety,2,3,mall of america theme park ,N
Heyjin and Zack,2,3,Park of the Americas,Y
Jess and Simon,2,3,Land of the future,N
Losing 21 in 2021,2,3,Mall of America Park?,Y
Netflix and Quill,2,3,Camp Snoopy,N
Quaranteam 2020,2,3,"Camp snoopy, nickelodeon world, something else now. I moved from mn",Y
Ali and Ilsi,2,4,Eminem; Lil KIm; Snoop Dog,N
Bebe Yoda,2,4,"The Eagles, Travis Scott, ",Y
Blue Taran-dactyls,2,4,Daft Punk,Y
Clark and Kristen,2,4,"Kanye West, Chamillionaire, ",N
Days of Auld Lang-xiety,2,4,i really dont remember ,N
Heyjin and Zack,2,4,"Oasis, Megan Thee Stallion, Travis Scott",N
Jess and Simon,2,4,"Travis Scott, Pearl Jam, Whitney Houston",Y
Losing 21 in 2021,2,4,Chili Peppers; Travis Scott; Paul Wall,Y
Netflix and Quill,2,4,"Rolling Stones, Lauryn Hill, ",Y
Quaranteam 2020,2,4,"Red Hot Chili Peppers, Lil Nas X, babyface",Y
Ali and Ilsi,2,5,1916 (ww1); Israeli Hostage Crisis (70s/1972); 1944 (ww2),N
Bebe Yoda,2,5,"1940, 1944, 1980",Y
Blue Taran-dactyls,2,5,"1940, 1956, 1978",N
Clark and Kristen,2,5,"1940, 1944, 1916",Y
Days of Auld Lang-xiety,2,5,this is too hard maybe 1945? or 1939? something around WWII ,N
Heyjin and Zack,2,5,"1916, 1942, 1944",Y
Jess and Simon,2,5,"1942, 1918, 1920",Y
Losing 21 in 2021,2,5,1940; 1942; 1944,Y
Netflix and Quill,2,5,"1912, 1944, 1980",N
Quaranteam 2020,2,5,"1936, 1940, 1944",Y
Ali and Ilsi,2,6,banana,Y
Bebe Yoda,2,6,Hot dog,Y
Blue Taran-dactyls,2,6,Banana,N
Clark and Kristen,2,6,banana taped to a wall,N
Days of Auld Lang-xiety,2,6,newspaper,N
Heyjin and Zack,2,6,Banana,Y
Jess and Simon,2,6,Banana,Y
Losing 21 in 2021,2,6,Banana taped to wall,N
Netflix and Quill,2,6,Banana,Y
Quaranteam 2020,2,6,Banana,Y
Ali and Ilsi,2,7,Ruth's Chris (other restaurant that took small business loans),N
Bebe Yoda,2,7,Eleven Madison Park,N
Blue Taran-dactyls,2,7,Serendipity,N
Clark and Kristen,2,7,Gramercy Tavern,N
Days of Auld Lang-xiety,2,7,eleven madison park ,Y
Heyjin and Zack,2,7,Gramercy Tavern,N
Jess and Simon,2,7,11 Madison,N
Losing 21 in 2021,2,7,Keen’s?,N
Netflix and Quill,2,7,Tavern on the green,N
Quaranteam 2020,2,7,Tavern on the Green,N
Ali and Ilsi,2,8,pandas,N
Bebe Yoda,2,8,Panda,Y
Blue Taran-dactyls,2,8,Turtles,Y
Clark and Kristen,2,8,panda,Y
Days of Auld Lang-xiety,2,8,sloths ,N
Heyjin and Zack,2,8,Panda bears,Y
Jess and Simon,2,8,Panda,N
Losing 21 in 2021,2,8,Pandas,N
Netflix and Quill,2,8,Pandas,N
Quaranteam 2020,2,8,Panda,Y
Ali and Ilsi,2,9,Michigan,Y
Bebe Yoda,2,9,LSU,N
Blue Taran-dactyls,2,9,Florida,Y
Clark and Kristen,2,9,University of Alabama,N
Days of Auld Lang-xiety,2,9,LSU ,Y
Heyjin and Zack,2,9,LSU,N
Jess and Simon,2,9,LSU ,Y
Losing 21 in 2021,2,9,LSU,Y
Netflix and Quill,2,9,LSU,N
Quaranteam 2020,2,9,University of Florida,Y
Ali and Ilsi,2,10,Brad Pitt,Y
Bebe Yoda,2,10,Tom Hanks,N
Blue Taran-dactyls,2,10,Eddie Murphy,Y
Clark and Kristen,2,10,Tom Hanks ,N
Days of Auld Lang-xiety,2,10,alec baldwin ,N
Heyjin and Zack,2,10,Tom Hanks,N
Jess and Simon,2,10,Tom Hanks,N
Losing 21 in 2021,2,10,Tom Hanks,Y
Netflix and Quill,2,10,Tom Hanks,N
Quaranteam 2020,2,10,Tom Hanks,N
Ali and Ilsi,3,1,Madonna,N
Bebe Yoda,3,1,Cher,N
Blue Taran-dactyls,3,1,Patti Smith,N
Clark and Kristen,3,1,Dolly Parton,Y
Days of Auld Lang-xiety,3,1,tracy chapman ,Y
Heyjin and Zack,3,1,Tracy Chapman,Y
Jess and Simon,3,1,Traci Chapman ,N
Losing 21 in 2021,3,1,Tracy Chapman,N
Netflix and Quill,3,1,Madonna,N
Quaranteam 2020,3,1,Tracy Chapman,N
Ali and Ilsi,3,2,Philadelphia,N
Bebe Yoda,3,2,Philadelphia ,N
Blue Taran-dactyls,3,2,Philadelphia,N
Clark and Kristen,3,2,Chicago,Y
Days of Auld Lang-xiety,3,2,philadelphia ,Y
Heyjin and Zack,3,2,Boston,Y
Jess and Simon,3,2,St Louis,N
Losing 21 in 2021,3,2,Philadelphia ,Y
Netflix and Quill,3,2,Chicago,N
Quaranteam 2020,3,2,Philadelphia,Y
Ali and Ilsi,3,3,London (subsidiary of Virgin),N
Bebe Yoda,3,3,Seattle,Y
Blue Taran-dactyls,3,3,Juno,Y
Clark and Kristen,3,3,Seattle,N
Days of Auld Lang-xiety,3,3,san francisco or seattle? ,N
Heyjin and Zack,3,3,Juneau,N
Jess and Simon,3,3,Seattle,N
Losing 21 in 2021,3,3,Anchorage,N
Netflix and Quill,3,3,Tacoma,N
Quaranteam 2020,3,3,Seattle,Y
Ali and Ilsi,3,4,Bank of America,Y
Bebe Yoda,3,4,Wells Fargo,Y
Blue Taran-dactyls,3,4,USAA,N
Clark and Kristen,3,4,Chase Bank,Y
Days of Auld Lang-xiety,3,4,bank of america ,N
Heyjin and Zack,3,4,Bank of America,N
Jess and Simon,3,4,Citibank,Y
Losing 21 in 2021,3,4,Chase,N
Netflix and Quill,3,4,Santander,N
Quaranteam 2020,3,4,HSBC,N
Ali and Ilsi,3,5,Wyoming,N
Bebe Yoda,3,5,North Dakota,Y
Blue Taran-dactyls,3,5,North Dakota,Y
Clark and Kristen,3,5,Montana,Y
Days of Auld Lang-xiety,3,5,wyoming,N
Heyjin and Zack,3,5,Wyoming,Y
Jess and Simon,3,5,Wyoming,Y
Losing 21 in 2021,3,5,North Dakota,Y
Netflix and Quill,3,5,Montana,N
Quaranteam 2020,3,5,Wyoming,N
Ali and Ilsi,3,6,"Fairfax, Virginia",N
Bebe Yoda,3,6,"Raleigh, North Carolina",Y
Blue Taran-dactyls,3,6,"Richmond, Virginia",Y
Clark and Kristen,3,6,"Richmond, VA",Y
Days of Auld Lang-xiety,3,6,churchill ,N
Heyjin and Zack,3,6,"Raleigh, North Carolina",N
Jess and Simon,3,6,"Raleigh, North Carolina ",Y
Losing 21 in 2021,3,6,"Richmond, VA",N
Netflix and Quill,3,6,"Richmond, Virginia",N
Quaranteam 2020,3,6,"Richmond, Virginia",N
Ali and Ilsi,3,7,George's hometown in Michigan,N
Bebe Yoda,3,7,Houston,N
Blue Taran-dactyls,3,7,San Diego,Y
Clark and Kristen,3,7,"San Francisco, CA",N
Days of Auld Lang-xiety,3,7,san diego ,N
Heyjin and Zack,3,7,Los Angeles,Y
Jess and Simon,3,7,"Austin, TX",Y
Losing 21 in 2021,3,7,LA,N
Netflix and Quill,3,7,San Francisco ,Y
Quaranteam 2020,3,7,San Diego,N
Ali and Ilsi,3,8,"Columbus, Ohio",N
Bebe Yoda,3,8,"Independence, Missouri",N
Blue Taran-dactyls,3,8,Kansas City,Y
Clark and Kristen,3,8,"Branson, MO",N
Days of Auld Lang-xiety,3,8,independence missouri,N
Heyjin and Zack,3,8,Oklahoma City,Y
Jess and Simon,3,8,St Louis,Y
Losing 21 in 2021,3,8,"St. Louis, Missouri ",Y
Netflix and Quill,3,8,Medford,Y
Quaranteam 2020,3,8,"Independence, MO",Y
Ali and Ilsi,4,1,Tokyo,N
Bebe Yoda,4,1,Tokyo,N
Blue Taran-dactyls,4,1,Seoul,N
Clark and Kristen,4,1,Tokyo,N
Days of Auld Lang-xiety,4,1,tokyo,N
Heyjin and Zack,4,1,Tokyo,Y
Jess and Simon,4,1,Tokyo,Y
Losing 21 in 2021,4,1,Tokyo,N
Netflix and Quill,4,1,Tokyo,N
Quaranteam 2020,4,1,Tokyo,Y
Ali and Ilsi,4,2,Rome,Y
Bebe Yoda,4,2,Rome/Vatican City,Y
Blue Taran-dactyls,4,2,Rome,N
Clark and Kristen,4,2,Rome/Vatican City,N
Days of Auld Lang-xiety,4,2,rome,N
Heyjin and Zack,4,2,Rome,N
Jess and Simon,4,2,Vatican City,Y
Losing 21 in 2021,4,2,Vatican City?,Y
Netflix and Quill,4,2,Paris,Y
Quaranteam 2020,4,2,Florence,N
Ali and Ilsi,4,3,Gibralta,Y
Bebe Yoda,4,3,Cape Town,N
Blue Taran-dactyls,4,3,Hanoi,Y
Clark and Kristen,4,3,Rio de Janeiro,N
Days of Auld Lang-xiety,4,3,no idea sicily?,Y
Heyjin and Zack,4,3,Singapore,N
Jess and Simon,4,3,Johannesburg ,Y
Losing 21 in 2021,4,3,Cale Town,N
Netflix and Quill,4,3,Cape Town,Y
Quaranteam 2020,4,3,Cape Town,Y
Ali and Ilsi,4,4,New Delhi,N
Bebe Yoda,4,4,Taj Mahalville,N
Blue Taran-dactyls,4,4,Istanbul,N
Clark and Kristen,4,4,Mumbai,N
Days of Auld Lang-xiety,4,4,mumbai,N
Heyjin and Zack,4,4,Hyderabad,Y
Jess and Simon,4,4,Agra,N
Losing 21 in 2021,4,4,Mumbai ,N
Netflix and Quill,4,4,Agra ,N
Quaranteam 2020,4,4,Accra,Y
Ali and Ilsi,4,5,St. Peteresburgh,Y
Bebe Yoda,4,5,Moscow,N
Blue Taran-dactyls,4,5,Moscow,N
Clark and Kristen,4,5,St Petersburg,Y
Days of Auld Lang-xiety,4,5,istanbul,N
Heyjin and Zack,4,5,St Petersburg,Y
Jess and Simon,4,5,St. Petersburg ,N
Losing 21 in 2021,4,5,St. Petersburg ,Y
Netflix and Quill,4,5,St Petersburg,Y
Quaranteam 2020,4,5,Moscow,N
Ali and Ilsi,4,6,Rio de Jenerio,Y
Bebe Yoda,4,6,Rio de Janeiro,Y
Blue Taran-dactyls,4,6,Rio,N
Clark and Kristen,4,6,Manila,Y
Days of Auld Lang-xiety,4,6,maui ,N
Heyjin and Zack,4,6,Rio de Janeiro,Y
Jess and Simon,4,6,Rio de Janeiro ,N
Losing 21 in 2021,4,6,São Paulo,N
Netflix and Quill,4,6,Rio,Y
Quaranteam 2020,4,6,Rio de Janeiro,N
Ali and Ilsi,4,7,Seoul,N
Bebe Yoda,4,7,Seoul,N
Blue Taran-dactyls,4,7,Hong Kong,Y
Clark and Kristen,4,7,Seoul,Y
Days of Auld Lang-xiety,4,7,rio de janeiro ,N
Heyjin and Zack,4,7,Ulanbataar,N
Jess and Simon,4,7,Shanghai ,Y
Losing 21 in 2021,4,7,Seoul,Y
Netflix and Quill,4,7,Toronto,N
Quaranteam 2020,4,7,Seoul,Y
Ali and Ilsi,4,8,Taipei,Y
Bebe Yoda,4,8,Manilla,N
Blue Taran-dactyls,4,8,🛕,Y
Clark and Kristen,4,8,Toronto,N
Days of Auld Lang-xiety,4,8,toronto ,Y
Heyjin and Zack,4,8,Baku,Y
Jess and Simon,4,8,Taipei,Y
Losing 21 in 2021,4,8,Taipei,Y
Netflix and Quill,4,8,Taipei,N
Quaranteam 2020,4,8,Taipei,Y
Ali and Ilsi,4,9,King's Lading,N
Bebe Yoda,4,9,Copenhagen,Y
Blue Taran-dactyls,4,9,Greece,N
Clark and Kristen,4,9,Copenhagen,N
Days of Auld Lang-xiety,4,9,lisbon,N
Heyjin and Zack,4,9,Lisbon,Y
Jess and Simon,4,9,Prague,Y
Losing 21 in 2021,4,9,Istanbul,Y
Netflix and Quill,4,9,Lisbon,N
Quaranteam 2020,4,9,Lisbon,Y
Ali and Ilsi,4,10,Fyre festival island,Y
Bebe Yoda,4,10,"Exuma, Bahamas",N
Blue Taran-dactyls,4,10,Sun Island,N
Clark and Kristen,4,10,Dubai ,N
Days of Auld Lang-xiety,4,10,exhumas bahamas #fyrefestival #fyrefail ,Y
Heyjin and Zack,4,10,"Nassau, Bahamas ",Y
Jess and Simon,4,10,Pablo Escobar’s Island (Grand Bahama),Y
Losing 21 in 2021,4,10,The Pablo Escobar Island lol,N
Netflix and Quill,4,10,Fyre ,Y
Quaranteam 2020,4,10,Grand Bahama,Y
Ali and Ilsi,5,1,Willie Wonka; Charlie and the Chocolate Factory,Y
Bebe Yoda,5,1,Willy Wonka / Charlie and the Chocolate Factory,Y
Blue Taran-dactyls,5,1,Willy Wonka,Y
Clark and Kristen,5,1,Willy Wonka,N
Days of Auld Lang-xiety,5,1,no idea literally clueless ,Y
Heyjin and Zack,5,1,Willy Wonka,N
Jess and Simon,5,1,Willy Wonka,N
Losing 21 in 2021,5,1,Willy Wonka (Willy Wonka played by Gene Hackman),N
Netflix and Quill,5,1,Willy Wonka,N
Quaranteam 2020,5,1,Willy wonka,Y
Ali and Ilsi,5,2,Zoom Zoom Boom,Y
Bebe Yoda,5,2,Xenon the girl of the 21st century ,N
Blue Taran-dactyls,5,2,Zenon Rocket Girl (DCOM),N
Clark and Kristen,5,2,Space Jam,N
Days of Auld Lang-xiety,5,2,just gonna start making up random answers no idea,Y
Heyjin and Zack,5,2,Xenon Girl of the 21st Century,N
Jess and Simon,5,2,The Fifth Element,N
Losing 21 in 2021,5,2,Dunno!,N
Netflix and Quill,5,2,The Matrix,Y
Quaranteam 2020,5,2,Osmosis Jones,Y
Ali and Ilsi,5,3,Lord of the Rings,N
Bebe Yoda,5,3,Avatar,Y
Blue Taran-dactyls,5,3,Lord of the Rings,N
Clark and Kristen,5,3,Aragorn from Lord of the Rings,Y
Days of Auld Lang-xiety,5,3,taylor swift ,N
Heyjin and Zack,5,3,Lord of the Rings Fellowship of the Ring,N
Jess and Simon,5,3,The Lord of the Rings,N
Losing 21 in 2021,5,3,Avatar,N
Netflix and Quill,5,3,Lord of the Rings,Y
Quaranteam 2020,5,3,Lord of the Rings,Y
Ali and Ilsi,5,4,Back to the Future; McFly,N
Bebe Yoda,5,4,Back to the future ,Y
Blue Taran-dactyls,5,4,Footloose,Y
Clark and Kristen,5,4,Back to the Future--Marty McFly,N
Days of Auld Lang-xiety,5,4,taylor swift ,N
Heyjin and Zack,5,4,Back to the Future ,Y
Jess and Simon,5,4,Jerry Lee Lewis,N
Losing 21 in 2021,5,4,Back to the future ,N
Netflix and Quill,5,4,Back to the Future,Y
Quaranteam 2020,5,4,Back to the Future,N
Ali and Ilsi,5,5,Nightmare before Christmas,N
Bebe Yoda,5,5,Hocus Pocus,Y
Blue Taran-dactyls,5,5,Nightmare before Christmas,Y
Clark and Kristen,5,5,Nightmare Before Christmas,N
Days of Auld Lang-xiety,5,5,taylor swift,N
Heyjin and Zack,5,5,Witches,N
Jess and Simon,5,5,,N
Losing 21 in 2021,5,5,Nightmare before Christmas ,N
Netflix and Quill,5,5,Nightmare before Christmas,N
Quaranteam 2020,5,5,Nightmare Before Christmas,N
Ali and Ilsi,5,6,"The Fifth Element; Blue Opera star (IDK if she has an actual name, guys!)",Y
Bebe Yoda,5,6,The Matrix,Y
Blue Taran-dactyls,5,6,The Fifth Element,Y
Clark and Kristen,5,6,The Fifth Element,N
Days of Auld Lang-xiety,5,6,are any of these star wars? need a star wars jam,N
Heyjin and Zack,5,6,Zombieland,N
Jess and Simon,5,6,Tron,Y
Losing 21 in 2021,5,6,Fifth Element ,N
Netflix and Quill,5,6,Fifth Element,N
Quaranteam 2020,5,6,Fifth Element,Y
Ali and Ilsi,5,7,Kill Bill,Y
Bebe Yoda,5,7,The Crows Have Eyes 3,N
Blue Taran-dactyls,5,7,Pitch Perfect,Y
Clark and Kristen,5,7,Hunger Games--Katniss Everdeen,Y
Days of Auld Lang-xiety,5,7,oh wait this is the hunger games!!!!!!!!!! jennifer lawrence as katniss everdeen,Y
Heyjin and Zack,5,7,Never let me go,N
Jess and Simon,5,7,The Hunger Games,N
Losing 21 in 2021,5,7,Lol wut,Y
Netflix and Quill,5,7,Hunger Games,N
Quaranteam 2020,5,7,Katniss Everdeen,Y
Ali and Ilsi,5,8,Frozen,N
Bebe Yoda,5,8,Frozen 2,N
Blue Taran-dactyls,5,8,Frozen II,N
Clark and Kristen,5,8,Wicked,Y
Days of Auld Lang-xiety,5,8,frozen 2!!!! i can't believe i got 7 and 8 ,N
Heyjin and Zack,5,8,Wicked,N
Jess and Simon,5,8,Elsa,Y
Losing 21 in 2021,5,8,Frozen II,N
Netflix and Quill,5,8,Frozen 2,N
Quaranteam 2020,5,8,Frozen 2,Y
Ali and Ilsi,6,1,Test,N
Bebe Yoda,6,1,Test,N
Blue Taran-dactyls,6,1,Test,N
Clark and Kristen,6,1,Test,Y
Days of Auld Lang-xiety,6,1,Test,Y
Heyjin and Zack,6,1,Test,Y
Jess and Simon,6,1,Test,Y
Losing 21 in 2021,6,1,Test,Y
Netflix and Quill,6,1,Test,Y
Quaranteam 2020,6,1,Test,Y
Ali and Ilsi,6,2,Test,N
Bebe Yoda,6,2,Test,Y
Blue Taran-dactyls,6,2,Test,Y
Clark and Kristen,6,2,Test,N
Days of Auld Lang-xiety,6,2,Test,N
Heyjin and Zack,6,2,Test,Y
Jess and Simon,6,2,Test,Y
Losing 21 in 2021,6,2,Test,N
Netflix and Quill,6,2,Test,N
Quaranteam 2020,6,2,Test,Y
Ali and Ilsi,6,3,Test,Y
Bebe Yoda,6,3,Test,N
Blue Taran-dactyls,6,3,Test,Y
Clark and Kristen,6,3,Test,Y
Days of Auld Lang-xiety,6,3,Test,Y
Heyjin and Zack,6,3,Test,Y
Jess and Simon,6,3,Test,N
Losing 21 in 2021,6,3,Test,N
Netflix and Quill,6,3,Test,N
Quaranteam 2020,6,3,Test,N
Ali and Ilsi,6,4,Test,Y
Bebe Yoda,6,4,Test,Y
Blue Taran-dactyls,6,4,Test,N
Clark and Kristen,6,4,Test,N
Days of Auld Lang-xiety,6,4,Test,Y
Heyjin and Zack,6,4,Test,N
Jess and Simon,6,4,Test,N
Losing 21 in 2021,6,4,Test,Y
Netflix and Quill,6,4,Test,N
Quaranteam 2020,6,4,Test,N
Ali and Ilsi,6,5,Test,Y
Bebe Yoda,6,5,Test,Y
Blue Taran-dactyls,6,5,Test,Y
Clark and Kristen,6,5,Test,N
Days of Auld Lang-xiety,6,5,Test,N
Heyjin and Zack,6,5,Test,Y
Jess and Simon,6,5,Test,N
Losing 21 in 2021,6,5,Test,N
Netflix and Quill,6,5,Test,Y
Quaranteam 2020,6,5,Test,Y
Ali and Ilsi,6,6,Test,Y
Bebe Yoda,6,6,Test,Y
Blue Taran-dactyls,6,6,Test,N
Clark and Kristen,6,6,Test,N
Days of Auld Lang-xiety,6,6,Test,N
Heyjin and Zack,6,6,Test,N
Jess and Simon,6,6,Test,N
Losing 21 in 2021,6,6,Test,N
Netflix and Quill,6,6,Test,Y
Quaranteam 2020,6,6,Test,N
Ali and Ilsi,6,7,Test,N
Bebe Yoda,6,7,Test,Y
Blue Taran-dactyls,6,7,Test,Y
Clark and Kristen,6,7,Test,Y
Days of Auld Lang-xiety,6,7,Test,N
Heyjin and Zack,6,7,Test,Y
Jess and Simon,6,7,Test,N
Losing 21 in 2021,6,7,Test,Y
Netflix and Quill,6,7,Test,N
Quaranteam 2020,6,7,Test,Y
Ali and Ilsi,6,8,Test,N
Bebe Yoda,6,8,Test,Y
Blue Taran-dactyls,6,8,Test,N
Clark and Kristen,6,8,Test,N
Days of Auld Lang-xiety,6,8,Test,N
Heyjin and Zack,6,8,Test,Y
Jess and Simon,6,8,Test,N
Losing 21 in 2021,6,8,Test,N
Netflix and Quill,6,8,Test,Y
Quaranteam 2020,6,8,Test,Y
Ali and Ilsi,6,9,Test,Y
Bebe Yoda,6,9,Test,N
Blue Taran-dactyls,6,9,Test,N
Clark and Kristen,6,9,Test,Y
Days of Auld Lang-xiety,6,9,Test,Y
Heyjin and Zack,6,9,Test,Y
Jess and Simon,6,9,Test,N
Losing 21 in 2021,6,9,Test,Y
Netflix and Quill,6,9,Test,N
Quaranteam 2020,6,9,Test,N
Ali and Ilsi,6,10,Test,Y
Bebe Yoda,6,10,Test,Y
Blue Taran-dactyls,6,10,Test,Y
Clark and Kristen,6,10,Test,N
Days of Auld Lang-xiety,6,10,Test,N
Heyjin and Zack,6,10,Test,Y
Jess and Simon,6,10,Test,N
Losing 21 in 2021,6,10,Test,N
Netflix and Quill,6,10,Test,N
Quaranteam 2020,6,10,Test,N
